year,sex,type_of_course,no_of_graduates
2014,Females,Business & Administration,846
2014,Females,Law,176
2014,Females,Natural Physical & Mathematical Sciences,1103
2014,Females,Medicine,127
2014,Females,Dentistry,30
2014,Females,Health Sciences,309
2014,Females,Information Technology,289
2014,Females,Architecture & Building,258
2014,Females,Engineering Sciences,1251
2014,Females,Services,219
